date,type,concert_date,survey_result
42605.75,standard,42675.75,
42605.75,standard,42675.75,hardcore fan
8/23/2016 18:00,standard,42675.75,hardcore fan
8/23/2016 18:00,standard,42675.75,hardcore fan
8/23/2016 18:00,vip,42675.75,
8/23/2016 18:00,vip,42675.75,hardcore fan
8/26/2016 19:58,standard,42675.75,hardcore fan
8/27/2016 4:20,standard,42675.75,
8/29/2016 13:42,vip,42675.75,hardcore fan
8/31/2016 14:01,standard,42675.75,hardcore fan
9/2/2016 12:36,standard,42675.75,hardcore fan
9/3/2016 5:58,standard,42675.75,hardcore fan
42616.25625,standard,42675.75,
42616.88681,standard,42675.75,hardcore fan
42617.74861,standard,42675.75,
42617.80486,standard,42675.75,
42618.11667,standard,42675.75,
42618.99722,vip,42675.75,hardcore fan
42619.58611,standard,42675.75,hardcore fan
42619.69375,standard,42675.75,casual fan
42619.79861,standard,42675.75,
42620.93681,standard,42675.75,
42621.34514,vip,42675.75,
42621.37292,standard,42675.75,
42621.76736,standard,42675.75,
42622.05,standard,42675.75,casual fan
42622.44236,standard,42675.75,casual fan
42622.50903,standard,42675.75,casual fan
42622.82361,standard,42675.75,hardcore fan
42622.875,standard,42675.75,
42623.10972,standard,42675.75,
42623.11528,standard,42675.75,hardcore fan
42623.15347,standard,42675.75,hardcore fan
42623.85694,standard,42675.75,casual fan
42624.34583,vip,42675.75,hardcore fan
42624.39444,vip,42675.75,
42624.58611,standard,42675.75,casual fan
42625.02917,vip,42675.75,
42625.87222,standard,42675.75,hardcore fan
42625.99792,standard,42675.75,
42626.10208,vip,42675.75,hardcore fan
42626.23056,standard,42675.75,
42626.72431,standard,42675.75,
42626.80486,vip,42675.75,
42626.97153,standard,42675.75,hardcore fan
42627.08542,vip,42675.75,hardcore fan
42627.34931,standard,42675.75,
42627.575,standard,42675.75,
42627.71944,standard,42675.75,hardcore fan
42627.9,standard,42675.75,
42627.9375,vip,42675.75,hardcore fan
42627.98889,vip,42675.75,
42628.29583,standard,42675.75,
42628.50764,standard,42675.75,casual fan
42629.63611,standard,42675.75,
42629.67569,standard,42675.75,
42629.76042,standard,42675.75,hardcore fan
42629.96667,standard,42675.75,
42630.15694,standard,42675.75,hardcore fan
42630.17917,standard,42675.75,
42630.38056,standard,42675.75,hardcore fan
42630.47083,vip,42675.75,
42630.47639,vip,42675.75,
42630.53611,standard,42675.75,
42630.59722,standard,42675.75,
42630.89583,standard,42675.75,
42631.23194,standard,42675.75,
42631.51458,standard,42675.75,
42631.72708,vip,42675.75,hardcore fan
42631.84861,vip,42675.75,casual fan
42632.40972,standard,42675.75,casual fan
42632.42708,standard,42675.75,
42632.51875,vip,42675.75,
42632.57014,standard,42675.75,hardcore fan
42632.60694,vip,42675.75,hardcore fan
